,Unnamed: 0,user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
33,33,16b11f84-bf74-4f36-a5a7-b103e3285569,proj21,,manager,1.0,proj73task2a,dept5,False,task,proj21,dept4,2.0,True,proj42task2propa,setSchedule,False
34,34,0284816d-66d2-4e87-91eb-3cb46e8db43d,proj11,,manager,1.0,proj52task1propa,,True,schedule,proj12,dept8,,False,proj62task1a,request,False
35,35,010e9f66-80fd-4ade-8b12-35060212d9f7,proj22,proj22,manager,1.0,proj61task1propa,dept4,False,task,proj11,dept8,2.0,False,proj22task2propa,write,False
36,36,7a19f9e2-6701-48c7-aedf-4233eb3dfbdf,proj12,,manager,,proj52task2a,,True,budget,proj21,dept6,,False,proj31task2a,request,False
37,37,737373f7-7e58-411a-bd18-d23f5be11c38,proj22,proj22,manager,,proj73task1a,dept4,False,budget,proj11,dept8,2.0,True,proj31task1propa,setStatus,False
38,38,6776dbb6-0253-4a6c-b9bb-b52662dbf295,proj21,proj21,manager,,proj62task2a,,False,schedule,proj11,dept5,1.0,True,proj52task1propa,write,False
39,39,084b1f36-e617-4678-bbfc-7d6e9393c54d,proj22,proj22,manager,1.0,proj73task2propa,,False,budget,proj11,dept3,,True,proj61task2a,read,False
40,40,b0744556-b045-4ead-b28b-8659930a78b1,proj11,proj11,manager,2.0,proj52task1propa,,True,task,proj11,dept3,,True,proj52task2a,request,False
41,41,d3424f59-430f-4c7e-9748-47bab3fa0433,proj21,,manager,,proj52task1a,,False,task,proj12,dept5,2.0,False,proj51task2propa,write,False
42,42,d553500a-4e63-4d24-8f11-a46e8b3f18a0,proj12,proj12,manager,1.0,proj52task1propa,,False,schedule,proj11,dept5,1.0,True,proj41task2a,approve,False
43,43,82b3d9d9-ac34-4dc4-8ece-c64aaa924d2b,proj11,proj11,manager,,proj73task1propa,dept3,True,schedule,proj21,dept3,,True,proj31task1a,setCost,False
44,44,19f072db-86f6-4095-8f45-27d14a2c100c,proj22,proj22,manager,,proj71task2a,dept6,True,task,proj11,dept8,1.0,True,proj72task1propa,setCost,False
45,45,28cffc8a-8661-4b53-86d9-3fc07656e0f2,proj22,proj22,manager,,proj42task2a,,False,task,proj11,dept6,,False,proj51task2a,request,False
46,46,1bbd7b0d-9eab-4686-aa36-72e08c705ceb,proj11,proj11,manager,1.0,proj62task2propa,,True,schedule,proj21,dept5,2.0,False,proj42task2a,read,False
47,47,1c6264cd-6787-4368-99b2-fdaeeef15468,proj21,proj21,manager,,proj62task1a,dept6,False,budget,proj21,dept3,,True,proj51task1propa,request,False
48,48,cd5d359d-a5b3-44d3-930e-f80150b08e76,proj22,,manager,,proj52task2a,,True,task,proj12,dept4,,False,proj42task1a,read,False
49,49,b1239340-5bfd-46bf-a6a9-110a2969d3d7,proj12,,manager,1.0,proj72task2a,,True,schedule,proj21,dept6,,False,proj73task2a,setStatus,False
50,50,af654714-d020-4944-b18c-dc7cd3e7681c,proj21,,manager,2.0,proj51task1propa,,False,schedule,proj21,dept6,1.0,True,proj72task1a,setSchedule,False
51,51,ff8ef241-f8e9-402b-9135-a1d13fe87428,proj21,proj21,manager,,proj71task1a,,True,task,proj12,dept8,,True,proj62task1a,setCost,False
52,52,44f71687-102a-4b51-9631-9df1012dbf0e,proj21,proj21,manager,,proj52task2a,,False,schedule,proj22,dept7,1.0,False,proj41task2a,request,False
53,53,d93ee8c5-8634-4f6d-ba58-eeb4ec8cb6ff,proj22,,manager,2.0,proj31task2propa,,True,task,proj21,dept4,,True,proj32task2propa,write,False
54,54,8569c341-d842-4eb1-a65c-a650fab8415f,proj11,,manager,,proj73task1a,,True,task,proj21,dept4,2.0,True,proj42task1a,setStatus,False
55,55,c6d5ae2c-d8cc-4476-866b-66620262983b,proj11,proj11,manager,,proj61task2a,dept6,True,budget,proj21,dept6,,False,proj52task2propa,setStatus,False
56,56,3c01ef0b-d361-4bc1-898c-c19d6b597f17,proj12,,manager,2.0,proj51task1propa,,False,task,proj12,dept6,,True,proj32task1propa,approve,False
57,57,e87f85c0-070f-4db2-a403-4a239ccf4cd0,proj21,proj21,manager,,proj73task2a,dept4,False,budget,proj22,dept6,,False,proj62task1propa,setCost,False
58,58,b3aff4d0-7af1-472f-a37b-edb5039cb52e,proj11,,manager,,proj62task2a,,False,budget,proj12,dept8,1.0,False,proj72task1a,approve,False
59,59,a9fdb3eb-ade9-451b-bc9d-e128b813b5bc,proj11,proj11,manager,,proj52task2propa,dept3,False,budget,proj12,dept8,,False,proj51task2a,request,False
60,60,f8d20fa9-5fb5-4c00-9096-1c9d5f692bbf,proj11,,manager,,proj41task1propa,,True,schedule,proj11,dept5,,False,proj62task2propa,approve,False
61,61,a497ed31-21fe-4c67-aa05-e8b43c404cb4,proj12,,manager,,proj51task1propa,,True,budget,proj21,dept6,,False,proj62task2a,setSchedule,False
62,62,79eeacb3-e014-40ac-96bb-0741699af447,proj22,proj22,manager,,proj32task2propa,,True,schedule,proj21,dept7,2.0,False,proj41task1a,approve,False
63,63,a4ec46d9-88c7-4c60-a77c-54414a634e2b,proj12,proj12,manager,1.0,proj73task2propa,,False,budget,proj12,dept6,,True,proj61task1a,request,False
64,64,4fe4750e-98cf-4da6-87b6-ec0867f7560e,proj21,,manager,,proj71task1a,,True,task,proj12,dept6,,False,proj61task1propa,request,False
65,65,e668decf-1802-4a24-a9f1-3bbb91937757,proj12,,manager,,proj32task2a,dept8,True,budget,proj21,dept5,2.0,True,proj32task2propa,setStatus,False
66,66,943637f5-6292-4db3-8eaa-c1baa33cc588,proj22,proj22,manager,2.0,proj62task2a,,False,schedule,proj22,dept5,1.0,True,proj61task1a,request,False
67,67,2369a750-9704-4adb-8a2f-776049beb0d6,proj21,proj21,manager,,proj73task2a,dept4,False,task,proj12,dept6,,True,proj72task2a,read,False
68,68,5ea1449b-8ca8-4bb6-a8f6-2f0bdebc54a7,proj21,,manager,2.0,proj52task2a,,False,task,proj21,dept3,2.0,True,proj41task1a,approve,False
69,69,45c700e9-772f-45c0-826d-620bf86a3c42,proj11,proj11,manager,2.0,proj62task2propa,,False,budget,proj21,dept3,,False,proj61task1a,setCost,False
70,70,0ad2da91-3280-44d8-810f-f3ccfd8c2ed7,proj21,proj21,manager,,proj71task1propa,,False,budget,proj12,dept8,,True,proj72task2a,request,False
71,71,5d77b44a-b384-4b9b-86e3-9fef1a92c4f7,proj11,,manager,1.0,proj51task1propa,,True,task,proj11,dept6,,True,proj71task2propa,setStatus,False
72,72,38f3a1bb-c08f-436e-8029-78ccece30779,proj21,,manager,,proj51task2a,,False,budget,proj22,dept8,,False,proj32task1a,read,False
73,73,cde914f6-004d-4b08-9d3e-0b500685748a,proj21,proj21,manager,,proj71task1propa,,True,task,proj11,dept4,2.0,False,proj32task2propa,approve,False
74,74,5d4c4efc-a84c-4048-a667-37342bf60b09,proj21,,manager,1.0,proj51task2a,,False,schedule,proj22,dept6,1.0,False,proj31task2propa,read,False
75,75,804d71e9-3c9a-4422-a4cb-bd6040807526,proj21,proj21,manager,,proj61task1a,dept6,True,schedule,proj21,dept7,,False,proj73task1propa,setStatus,False
76,76,61c9cab4-be6d-4b79-a753-f912a94f09c8,proj22,,manager,2.0,proj61task2a,,False,task,proj11,dept6,2.0,False,proj51task2a,setStatus,False
77,77,653aeea1-8848-406b-9e1b-9081c0b0822a,proj11,,manager,,proj71task2a,,False,task,proj12,dept5,,True,proj32task2a,approve,False
78,78,396cd124-0c14-4681-b2b9-c978b0983f86,proj21,proj21,manager,2.0,proj42task1a,,False,task,proj22,dept6,2.0,True,proj61task2a,setStatus,False
79,79,6ec7bf0c-d466-4153-a7c0-4198293055ea,proj12,proj12,manager,2.0,proj73task2propa,dept3,True,budget,proj21,dept7,1.0,True,proj51task1a,write,False
80,80,76d478f6-d620-4c08-b4a4-a88a833859c9,proj21,,manager,2.0,proj52task1a,,False,task,proj11,dept7,,False,proj42task1a,setCost,False
81,81,19fc0297-7074-4fce-9c35-4676882491fe,proj11,proj11,manager,,proj73task1propa,,True,budget,proj11,dept6,1.0,False,proj71task2a,setCost,False
82,82,0db5846e-d8e9-4f4d-b973-a2b13079cca3,proj11,proj11,manager,,proj61task1propa,,False,task,proj21,dept6,1.0,False,proj41task1a,setSchedule,False
83,83,9f1952dc-6c46-4751-8f36-d07121774e9e,proj12,,manager,1.0,proj41task2propa,dept7,False,budget,proj21,dept8,1.0,True,proj73task1propa,approve,False
84,84,d0d9da0b-2290-4ec3-821b-c6dfaf00a507,proj12,,manager,1.0,proj52task1a,,True,schedule,proj12,dept4,,False,proj73task2a,setStatus,False
85,85,b9e99e00-4949-4a39-8cf2-00836e847fa9,proj22,,manager,,proj71task1propa,dept4,False,task,proj11,dept8,2.0,True,proj52task1a,read,False
86,86,88246369-ec1d-4c83-adbd-0fe7f6aa6d3e,proj11,proj11,manager,1.0,proj41task1a,,True,budget,proj12,dept4,,True,proj22task2propa,setStatus,False
87,87,28d62828-1585-4a41-9853-53eb41ac1281,proj22,,manager,1.0,proj71task1propa,dept4,True,schedule,proj11,dept5,1.0,False,proj32task2propa,read,False
88,88,1b9f278d-9755-4fc6-a073-0ad9b033a846,proj11,,manager,,proj41task1propa,,False,task,proj21,dept4,,True,proj51task2a,approve,False
89,89,a8416a97-1a68-4173-b9f0-3ee15c27d752,proj12,,manager,,proj52task1propa,,True,task,proj22,dept8,,True,proj42task2a,approve,False
90,90,1f01aa82-90fb-45fd-bafd-9a9d73305646,proj11,,manager,1.0,proj52task2a,,False,budget,proj22,dept7,,False,proj73task1a,write,False
91,91,17e7a12e-346e-41b6-8a2b-e18df9e06b01,proj22,,manager,1.0,proj51task2a,,True,schedule,proj12,dept4,2.0,True,proj31task1propa,setSchedule,False
92,92,6051939d-07f4-4abd-a72c-27e73662f8d6,proj22,,manager,,proj62task1propa,,False,schedule,proj12,dept4,1.0,False,proj51task2propa,write,False
93,93,17fdd9ca-c860-43e6-a649-4c398f6e89e4,proj21,proj21,manager,,proj72task1propa,dept3,False,task,proj12,dept6,2.0,True,proj71task1a,write,False
94,94,56673540-3a5f-421c-8746-3133ba07fde6,proj12,,manager,,proj42task2a,dept8,False,task,proj11,dept8,,True,proj42task1a,read,False
95,95,33c0d32f-df48-4563-9887-06bbe88b3d5b,proj21,,manager,1.0,proj62task1propa,,False,budget,proj22,dept6,1.0,False,proj72task1propa,approve,False
96,96,faa804b9-c9af-43cb-beb5-529e33c2bc68,proj12,proj12,manager,,proj51task1a,,True,schedule,proj22,dept8,1.0,False,proj62task2propa,write,False
97,97,d94bbd72-2283-40a4-88a4-dba01bd76af3,proj11,,manager,2.0,proj31task1propa,dept8,True,task,proj22,dept6,1.0,False,proj41task2propa,setCost,False
98,98,d6b52b6b-7045-4137-888f-02842430d3c8,proj21,,manager,2.0,proj41task1propa,dept8,False,task,proj12,dept4,2.0,True,proj72task1a,write,False
99,99,39f91886-a588-4ba6-8335-59b8ce1c0a5a,proj11,proj11,manager,,proj62task2propa,,False,schedule,proj22,dept4,2.0,True,proj72task1propa,approve,False
100,100,9f0a7ff2-1dd8-4929-b7a5-20f5e97bdda3,proj11,proj11,manager,,proj73task2propa,,True,schedule,proj21,dept5,,False,proj73task2propa,approve,False
101,101,1af2f806-4853-4977-8c11-3707d31cd00d,proj12,,manager,2.0,proj72task2a,dept7,False,task,proj21,dept5,2.0,False,proj72task1propa,write,False
102,102,b47327ca-549b-4e89-9372-65e2fef97f7d,proj22,proj22,manager,,proj52task2propa,dept4,True,schedule,proj11,dept3,,False,proj73task2a,setSchedule,False
103,103,32ddd514-2446-4547-879d-c86a14da6e98,proj21,proj21,manager,1.0,proj51task1a,,True,schedule,proj12,dept7,,False,proj41task2propa,write,False
104,104,f23959ac-f0ea-4c7f-9935-f86fbee53b72,proj12,proj12,manager,1.0,proj52task1propa,dept5,True,task,proj11,dept6,,False,proj61task1a,read,False
105,105,a9b555e2-7944-4133-a2c4-6dc083cdc460,proj21,proj21,manager,1.0,proj51task1propa,,True,task,proj12,dept5,2.0,True,proj42task2a,write,False
106,106,b26a1505-abf7-44e0-beb5-da20f957ddb4,proj22,proj22,manager,,proj72task2propa,,True,budget,proj22,dept6,,False,proj51task1a,setCost,False
107,107,f8f8f276-1b92-41c7-a7e4-f079b0a0f873,proj22,proj22,manager,,proj62task2propa,,False,schedule,proj21,dept3,2.0,False,proj72task2a,write,False
108,108,c7d415b3-e1ae-41d9-9aa4-a0ef2c36ad6d,proj22,,manager,1.0,proj72task1propa,dept6,False,budget,proj11,dept5,2.0,True,proj52task1a,read,False
109,109,aed993b5-fbc9-460a-8305-2beb93076acd,proj21,,manager,,proj31task2propa,dept6,False,budget,proj22,dept3,1.0,False,proj62task2propa,approve,False
110,110,950fc1e9-e6c0-447b-8147-90ebe7d7321f,proj22,proj22,manager,,proj31task1propa,,False,task,proj21,dept7,,True,proj61task1a,approve,False
111,111,384c73d9-e6c9-4a6e-9217-cb3496f182db,proj11,proj11,manager,1.0,proj42task1propa,dept3,True,budget,proj21,dept6,1.0,True,proj72task2propa,approve,False
112,112,43d6b3aa-e67a-4e6c-bc84-6c3c9dbb3091,proj21,,manager,2.0,proj62task1a,,True,budget,proj11,dept6,,True,proj71task1a,setStatus,False
113,113,8772bdf2-774f-4c09-aa14-e2a9c2a0a38a,proj11,,manager,1.0,proj61task2propa,dept8,True,budget,proj12,dept5,,True,proj41task2a,setCost,False
114,114,fcdcf7c7-83fd-4b5a-884a-42e2108b144c,proj11,,manager,1.0,proj72task1a,,True,task,proj22,dept7,,True,proj61task2propa,approve,False
115,115,5012f9eb-6e22-43b2-8431-7ec110508fe5,proj11,,manager,,proj62task2propa,,True,budget,proj21,dept6,,True,proj51task1a,write,False
116,116,929b17f8-7785-4721-a3e7-ff12f34ca493,proj22,proj22,manager,,proj62task2a,dept8,True,task,proj21,dept8,,True,proj31task1a,approve,False
117,117,05e7ff27-c606-4b02-b9e6-8d9f726a66b8,proj22,proj22,manager,,proj52task2propa,dept3,True,schedule,proj21,dept8,1.0,False,proj52task2propa,setCost,False
118,118,4114111c-f4d3-41e8-ab52-c6bf2772e6ca,proj21,,manager,2.0,proj31task1propa,dept5,False,schedule,proj11,dept7,2.0,False,proj51task2a,setStatus,False
119,119,2881b254-5b22-4154-9382-a23e4a8f0d9a,proj22,,manager,1.0,proj31task1propa,,True,budget,proj21,dept8,2.0,False,proj22task2propa,request,False
120,120,1ffb489d-799e-4bec-ad49-7439df49a3a4,proj11,proj11,manager,,proj41task2a,,False,task,proj21,dept7,,False,proj42task2propa,write,False
121,121,f9679bc5-0fa1-46a7-8258-463050da584d,proj21,,manager,1.0,proj41task2a,,True,budget,proj21,dept5,2.0,False,proj62task2propa,setSchedule,False
122,122,36e5b1b2-5906-46af-9aaa-2027f00499cb,proj12,proj12,manager,2.0,proj62task2propa,dept3,False,schedule,proj11,dept6,,False,proj52task1propa,setSchedule,False
123,123,a6e994aa-7f26-467b-be12-68037991dcf0,proj12,,manager,2.0,proj31task2propa,dept8,True,budget,proj22,dept5,1.0,True,proj73task2propa,request,False
124,124,c670651e-3df5-4a5d-a93a-69156c0b48d8,proj22,proj22,manager,,proj41task1propa,,False,budget,proj12,dept5,2.0,False,proj41task2propa,setSchedule,False
125,125,792b8b2b-ad80-46a1-8580-fb0f32976247,proj22,proj22,manager,,proj71task2propa,dept3,True,task,proj22,dept5,,False,proj72task2a,setSchedule,False
126,126,0ebc7d36-bca8-40ea-ad91-d0015790da86,proj12,,manager,,proj42task1a,,False,budget,proj21,dept3,,False,proj73task1a,setCost,False
127,127,009e3838-c441-4cbd-89f6-60a4260342a2,proj11,,manager,2.0,proj41task2propa,dept8,True,task,proj12,dept7,,True,proj71task1a,read,False
128,128,06565d7b-bf9f-42a7-b6aa-8b727e52c3e6,proj12,proj12,manager,1.0,proj51task2propa,,True,schedule,proj11,dept8,,True,proj32task1propa,setSchedule,False
129,129,bcaf453d-4751-43f7-8483-9c45dd7e1b8f,proj22,proj22,manager,,proj73task2a,,True,task,proj12,dept5,2.0,False,proj72task1a,approve,False
130,130,f2ee68ee-8357-4242-92cc-f5531b54ff49,proj21,proj21,manager,2.0,proj41task2a,,True,task,proj22,dept6,1.0,False,proj73task1propa,request,False
131,131,f9a45f0a-578a-4ec0-b510-1ed3e1368cfe,proj21,,manager,1.0,proj51task1a,,False,task,proj21,dept8,2.0,False,proj51task2propa,approve,False
132,132,9e5e4840-04d9-41d4-a027-507bd11f1a9c,proj22,proj22,manager,,proj72task2a,,True,budget,proj12,dept6,,True,proj42task1a,setSchedule,False
133,133,d6026f63-471a-47f7-9978-20bc0b441264,proj11,proj11,manager,1.0,proj52task2propa,,True,schedule,proj11,dept5,1.0,True,proj72task1propa,approve,False
134,134,50322d20-6e36-42ba-9f28-12d82b57f14a,proj21,,manager,,proj51task2a,,True,task,proj11,dept7,1.0,False,proj71task1propa,write,False
135,135,b1d4ca98-145e-4ba0-bd01-f98388123c40,proj21,,manager,,proj72task2propa,dept6,True,schedule,proj21,dept8,,False,proj73task1propa,setSchedule,False
136,136,51165ac8-7f13-4a65-8781-02866d3d3ca6,proj12,,manager,,proj61task2a,dept7,False,task,proj21,dept5,2.0,True,proj72task1a,approve,False
137,137,18d53adb-51ea-4585-b2ff-9825db2f72b4,proj11,proj11,manager,1.0,proj71task1a,dept5,False,task,proj11,dept8,2.0,True,proj32task2a,request,False
138,138,7793f8bb-372b-4c1b-9672-17a6077f24bc,proj12,,manager,2.0,proj31task2propa,,False,budget,proj22,dept8,2.0,False,proj73task1a,read,False
139,139,519618bd-9502-49e2-8780-87b85c7b8323,proj11,proj11,manager,,proj52task2a,,True,budget,proj21,dept8,,True,proj62task1a,setStatus,False
140,140,21058c3a-f610-42e9-b6a7-e4dbef5acc9c,proj21,,manager,1.0,proj73task2a,dept8,True,task,proj22,dept8,1.0,False,proj52task2a,setStatus,False
141,141,b72974ae-fbce-4af6-99d6-e59af7f46f74,proj22,proj22,manager,,proj31task2a,dept8,False,task,proj11,dept5,,False,proj52task1propa,request,False
142,142,8cdd0ab2-7db8-4a07-97ed-7dd5fa3e3cdf,proj21,,manager,2.0,proj72task1a,dept7,False,schedule,proj12,dept7,2.0,True,proj71task2propa,setCost,False
143,143,c21c7909-ff64-41d3-bd98-3078f5cbc74a,proj22,proj22,manager,1.0,proj61task2a,dept4,False,task,proj22,dept4,,True,proj73task2propa,request,False
144,144,19c9a8ee-b90e-48be-8770-da63d58481ed,proj22,,manager,,proj42task1propa,,True,schedule,proj21,dept4,2.0,True,proj62task1propa,approve,False
145,145,3830aa26-8ce0-4e08-96bc-1227beb13d52,proj22,proj22,manager,,proj73task2a,dept3,False,schedule,proj11,dept8,1.0,True,proj73task2propa,approve,False
146,146,0c4c35d8-aa52-4d85-b15a-d98672d19064,proj22,proj22,manager,2.0,proj42task1propa,,True,task,proj21,dept8,,True,proj72task2propa,request,False
147,147,5d423e61-ddfa-4a60-9b85-32377e1ccb44,proj21,,manager,1.0,proj71task1a,dept6,False,schedule,proj11,dept3,1.0,True,proj61task2a,approve,False
148,148,e9bd3dc3-d9d2-4db5-b425-4ed0c2f4767c,proj11,,manager,2.0,proj62task2a,,True,task,proj22,dept5,,True,proj41task1a,write,False
149,149,c924a4e1-de7b-492d-9575-306689070bbf,proj11,proj11,manager,2.0,proj62task2a,dept3,False,budget,proj12,dept6,1.0,False,proj31task1a,write,False
150,150,a1b74d87-a541-40b9-930a-0e1de2b24d71,proj11,proj11,manager,,proj73task2a,,True,budget,proj22,dept3,2.0,True,proj42task1a,read,False
151,151,e305b45b-8ba0-4935-86bc-5b340e07a04c,proj12,,manager,,proj61task1a,dept7,True,task,proj21,dept3,1.0,False,proj61task1a,request,False
152,152,2e12e879-0b2a-4ce9-b4dc-41b6344a8cac,proj22,proj22,manager,2.0,proj51task1a,dept4,True,task,proj21,dept6,,True,proj52task2a,setCost,False
153,153,cf89567c-c0b0-4835-97ed-eaeb6e364c8f,proj21,proj21,manager,2.0,proj31task2propa,dept8,False,task,proj11,dept5,2.0,True,proj42task2a,approve,False
154,154,5022c845-50b6-4092-b6f0-818deb8fe5c9,proj22,,manager,,proj73task1propa,dept6,False,schedule,proj22,dept3,1.0,True,proj72task1propa,setSchedule,False
155,155,1ace284d-a647-4867-885d-2107a9e6f319,proj12,proj12,manager,1.0,proj42task2a,dept7,True,schedule,proj11,dept6,,False,proj61task1propa,read,False
156,156,c4ddd735-7e73-4cb9-94fe-b8b2b13844f1,proj11,proj11,manager,,proj31task1propa,,True,budget,proj21,dept6,,True,proj41task2a,read,False
157,157,36d47f03-4a93-460c-9d51-08409b6b5cea,proj22,,manager,2.0,proj71task2a,dept5,False,schedule,proj22,dept8,1.0,True,proj71task1a,setSchedule,False
158,158,b3a3c4bb-427f-4946-9737-8f34fb4e9c67,proj21,,manager,,proj51task1propa,,True,budget,proj22,dept6,2.0,True,proj51task1propa,write,False
159,159,861ab05f-a9ab-49e3-96c5-68f67ed74962,proj12,,manager,1.0,proj52task1a,dept3,False,task,proj22,dept8,2.0,True,proj61task1a,approve,False
160,160,01198325-cd7d-4b16-ac3a-6e16bb647260,proj21,proj21,manager,,proj51task2a,dept3,False,task,proj12,dept5,1.0,False,proj32task2a,setSchedule,False
161,161,26a558ed-b068-406c-bf13-8c7e0f124eb6,proj12,proj12,manager,2.0,proj72task1a,dept8,False,schedule,proj11,dept8,,True,proj51task1a,approve,False
162,162,072265dc-7f27-4033-b71c-789024f4ad0f,proj21,proj21,manager,2.0,proj72task1propa,,True,task,proj12,dept6,1.0,False,proj73task1propa,read,False
163,163,618344fc-539e-4c78-bd29-9aaa396d2d38,proj12,,manager,2.0,proj73task2propa,dept4,True,schedule,proj12,dept5,,True,proj51task1propa,setStatus,False
164,164,5bb667de-6b84-447a-aca1-adec230fd2c6,proj12,,manager,1.0,proj72task1a,,True,budget,proj22,dept5,,True,proj51task1a,setCost,False
165,165,cead3f00-43d5-49c6-812e-c180a6151776,proj22,,manager,,proj42task2a,,False,budget,proj11,dept7,,True,proj31task1propa,approve,False
